Aminoacid	aa.taylor.C	na	na	#ffff00
Aminoacid	aa.taylor.Q	na	na	#ff00cc
Aminoacid	aa.taylor.E	na	na	#ff0066
Aminoacid	aa.taylor.G	na	na	#ff9900
Aminoacid	aa.taylor.H	na	na	#0066ff
Aminoacid	aa.taylor.I	na	na	#66ff00
Aminoacid	aa.taylor.L	na	na	#33ff00
Aminoacid	aa.taylor.K	na	na	#6600ff
Aminoacid	aa.taylor.M	na	na	#00ff00
Aminoacid	aa.taylor.F	na	na	#00ff66
Aminoacid	aa.taylor.P	na	na	#ffcc00
Aminoacid	aa.taylor.S	na	na	#ff3300
Aminoacid	aa.taylor.T	na	na	#ff6600
Aminoacid	aa.taylor.W	na	na	#00ccff
Aminoacid	aa.taylor.Y	na	na	#00ffcc
Aminoacid	aa.taylor.V	na	na	#99ff00
Aminoacid	aa.taylor.B	na	na	#ffffff
Aminoacid	aa.taylor.X	na	na	#ffffff
Aminoacid	aa.taylor.Z	na	na	#ffffff
Aminoacid	aa.hydrophobicity.A	na	na	#ad0052
Aminoacid	aa.hydrophobicity.R	na	na	#0000ff
Aminoacid	aa.hydrophobicity.N	na	na	#0c00f3
Aminoacid	aa.hydrophobicity.D	na	na	#0c00f3
Aminoacid	aa.hydrophobicity.C	na	na	#c2003d
Aminoacid	aa.hydrophobicity.Q	na	na	#0c00f3
Aminoacid	aa.hydrophobicity.E	na	na	#0c00f3
Aminoacid	aa.hydrophobicity.G	na	na	#6a0095
Aminoacid	aa.hydrophobicity.H	na	na	#1500ea
Aminoacid	aa.hydrophobicity.I	na	na	#ff0000
Aminoacid	aa.hydrophobicity.L	na	na	#ea0015
Aminoacid	aa.hydrophobicity.K	na	na	#0000ff
Aminoacid	aa.hydrophobicity.M	na	na	#b0004f
Aminoacid	aa.hydrophobicity.F	na	na	#cb0034
Aminoacid	aa.hydrophobicity.P	na	na	#4600b9
Aminoacid	aa.hydrophobicity.S	na	na	#5e00a1
Aminoacid	aa.hydrophobicity.T	na	na	#61009e
Aminoacid	aa.hydrophobicity.W	na	na	#5b00a4
Aminoacid	aa.hydrophobicity.Y	na	na	#4f00b0
Aminoacid	aa.hydrophobicity.V	na	na	#f60009
Aminoacid	aa.hydrophobicity.B	na	na	#0c00f3
Aminoacid	aa.hydrophobicity.X	na	na	#680097
Aminoacid	aa.hydrophobicity.Z	na	na	#0c00f3

